Sl. No.,Fraudulent activity type,Hashtags and Keywords
1,Fraudulent Ads on social media,"""Urgent"" / ""Immediate action required"""
1,Fraudulent Ads on social media,"""Confidential"" / ""Secret deal"""
1,Fraudulent Ads on social media,"""Risk-free"""
1,Fraudulent Ads on social media,"""Guaranteed"" / ""100% safe"""
1,Fraudulent Ads on social media,"""Act now"" / ""Limited time offer"""
1,Fraudulent Ads on social media,"""Wire transfer"" / ""Western Union"""
1,Fraudulent Ads on social media,"""Untraceable"" / ""Off-the-books"""
1,Fraudulent Ads on social media,"""Pre-approved"""
1,Fraudulent Ads on social media,"""No questions asked"""
1,Fraudulent Ads on social media,"""Avoid taxes"" / ""Tax loophole"""
1,Fraudulent Ads on social media,"""Congratulations, you’ve won"""
1,Fraudulent Ads on social media,"""Click here to claim"""
1,Fraudulent Ads on social media,"""Verify your account"" / ""Confirm your identity"""
1,Fraudulent Ads on social media,"""Too good to be true"""
1,Fraudulent Ads on social media,"""Account suspended"" / ""Locked account"""
2,Fraudulent groups for investment/trading,"Fraudulent groups for investment/trading in telegram, facebook, whatsapp etc"
3,Fraudulent Ads for fake hotels/Airbnb/resorts,"Fraudulent Ads for fake hotels, Airbnb, resorts, etc"
4,Fraudulent Ads and content on prostitution,"#EscortService, #AdultService, #Erotic, #IndependentEscort, #SexWorker, #MeetNow, #Companionship, #RealEscort, #CallGirl, #EscortNearMe, #18Plus, #prostitution, #sexwork, #humantrafficking, #feminism, #sextrafficking, #prostitutes, #sexworkiswork, #nordicmodelnow"
5,Fraudulent Ads and content on gambling,"gambling, online gambling, gambling sites, gambling games, stake gambling, rust gambling, sports gambling, gambling websites, illegal gambling, gamstop gambling, roobet gambling, responsible gambling, twitch gambling, casino gambling, gambling machine"
