Category,Subcategory,Keyword/Hashtag
General Fraud,General,Urgent / Immediate action required
General Fraud,General,Confidential / Secret deal
General Fraud,General,Risk-free
General Fraud,General,Guaranteed / 100% safe
General Fraud,General,Act now / Limited time offer
General Fraud,General,Wire transfer / Western Union
General Fraud,General,Untraceable / Off-the-books
General Fraud,General,Pre-approved
General Fraud,General,No questions asked
General Fraud,General,Avoid taxes / Tax loophole
General Fraud,General,"Congratulations, you’ve won"
General Fraud,General,Click here to claim
General Fraud,General,Verify your account / Confirm your identity
General Fraud,General,Too good to be true
General Fraud,General,Account suspended / Locked account
Financial Fraud,General,Shell company
Financial Fraud,Financial,Falsified documents
Financial Fraud,Financial,Dummy accounts
Financial Fraud,Financial,Round-tripping
Financial Fraud,Financial,Kickbacks
Financial Fraud,Financial,Over-invoicing / Under-invoicing
Financial Fraud,Financial,Ghost employee
Financial Fraud,Financial,Embezzlement
Financial Fraud,Financial,Ponzi scheme
Financial Fraud,Financial,Insider trading
Financial Fraud,Financial,Money laundering
Credit Card / Identity Fraud,Credit Card / Identity,Offshore account
Credit Card / Identity Fraud,Credit Card / Identity,Stolen identity
Credit Card / Identity Fraud,Credit Card / Identity,Phishing / Spoofing
Credit Card / Identity Fraud,Credit Card / Identity,Skimming
Credit Card / Identity Fraud,Credit Card / Identity,Fake ID / Forged documents
Email / Phishing Fraud,Email / Phishing,Unauthorized transaction
Email / Phishing Fraud,Email / Phishing,Chargeback fraud
Email / Phishing Fraud,Email / Phishing,Dear customer
Email / Phishing Fraud,Email / Phishing,Verify your password
Email / Phishing Fraud,Email / Phishing,Click here to avoid suspension
Email / Phishing Fraud,Email / Phishing,Update your billing information
Email / Phishing Fraud,Email / Phishing,You’ve won a lottery
Corporate Fraud,Corporate,Free prize
Corporate Fraud,Corporate,Bank alert
Corporate Fraud,Corporate,Backdate
Corporate Fraud,Corporate,Side agreement
Corporate Fraud,Corporate,Creative accounting
Corporate Fraud,Corporate,Misstate / Restate earnings
Corporate Fraud,Corporate,Non-disclosed liabilities
Insurance Fraud,Insurance,Unrecorded sales
Insurance Fraud,Insurance,Inflated claim
Insurance Fraud,Insurance,Staged accident
Insurance Fraud,Insurance,False injury report
Insurance Fraud,Insurance,Duplicate claims
Insurance Fraud,Insurance,Lost receipts
Red Flags,Red Flags,Unusual urgency or secrecy
Red Flags,Red Flags,Vague answers or inconsistent information
Red Flags,Red Flags,High-pressure tactics
Red Flags,Red Flags,Reluctance to provide written documentation
Prostitution,Prostitution,"#prostitution, #sexwork, #humantrafficking"
Prostitution,Prostitution,"#sexworkiswork, #prostitutes, #sexworker"
Prostitution,Prostitution,"#sextrade, #sexindustry, #stopprostitution"
Gambling,Gambling,"gambling, online gambling, gambling sites"
Gambling,Gambling,"gambling, online casinos, phone casino"
Community-Sourced Keyword Filters,Community-Sourced,"explicit, adult, gambling, casino"
Community-Sourced Keyword Filters,Community-Sourced,"earn money, get rich, quick cash"
